Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
China,58340740.0,60690860.0,63942700.0,68462610.0,74747900.0,80445930.0,81718660.0,81474800.0,82195340.0,86542200.0,90085190.0,88668910.0,98613730.0,98786610.0,100902900.0,100068700.0,102256200.0,112352200.0,116862200.0,117802300.0,123609600.0,134887200.0,144335500.0,157689000.0,156197000.0,160571200.0,169315100.0,174290700.0,179084400.0,192616000.0,199926200.0,209312400.0,226179800.0,236648000.0,255004400.0,271766600.0,284542100.0,295117400.0,304490200.0,315511100.0,322771800.0,336394800.0,340623800.0,360834700.0,371939300.0,380320200.0,386448200.0
United States of America,89816580.0,90275010.0,93700380.0,94323650.0,97704050.0,97277180.0,101177900.0,103420600.0,104285200.0,102786400.0,111234700.0,111439800.0,113008600.0,110119400.0,117511000.0,120877500.0,126192700.0,126211800.0,133091500.0,127118400.0,139390800.0,139500900.0,119197600.0,136529200.0,143144600.0,136708300.0,136752700.0,126910100.0,138218400.0,144644000.0,143249500.0,155467400.0,142796300.0,164433800.0,152325500.0,162066800.0,167072000.0,167311700.0,170083400.0,173640200.0,170755800.0,167494400.0,172458200.0,183519100.0,181432900.0,176803000.0,184698800.0
India,50142680.0,50015760.0,51367730.0,52267720.0,49498330.0,49309560.0,52731470.0,55208160.0,56970870.0,60053830.0,61559940.0,58725260.0,63310020.0,61161410.0,67573710.0,66914630.0,72476440.0,75273500.0,71872960.0,74076420.0,79854310.0,79127070.0,88341420.0,90441380.0,93183620.0,93067530.0,92052060.0,102021900.0,109289000.0,109854700.0,110870700.0,115959300.0,119014000.0,123259200.0,126802000.0,132327200.0,134052000.0,137406600.0,143567200.0,142989200.0,147351100.0,137112300.0,151552000.0,149552600.0,156869200.0,164974800.0,175747700.0
USSR,72768810.0,73961920.0,70531000.0,81216890.0,80941960.0,90781310.0,92659220.0,98507460.0,93745540.0,100571500.0,101134000.0,96571510.0,112866600.0,107019900.0,101590100.0,110860100.0,111201700.0,118495100.0,110892400.0,107927700.0,104772600.0,111172200.0,115414900.0,114809500.0,114891200.0,122372300.0,121626500.0,121102700.0,125996600.0,126241300.0,111884500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,16564600.0,17344940.0,17443010.0,17658130.0,20367240.0,19238750.0,20650260.0,21256810.0,22008700.0,22533890.0,23583120.0,24726620.0,24599650.0,26386030.0,27173810.0,28353660.0,30125560.0,29605350.0,31451560.0,34909200.0,36180910.0,36635890.0,36707840.0,38756650.0,42469060.0,40969750.0,44823570.0,46291220.0,48140150.0,45956520.0,48781430.0,51768700.0,52008700.0,55538480.0,58603010.0,57776820.0,60006520.0,60706480.0,65353180.0,67416260.0,71250310.0,75603330.0,81198510.0,85626940.0,87363190.0,85319580.0,90075170.0
France,23408500.0,26654000.0,25202710.0,25321080.0,26780910.0,25447410.0,27156150.0,28165500.0,26664590.0,28293850.0,28380690.0,28244560.0,30877850.0,30775730.0,29088000.0,29122940.0,28473830.0,30657640.0,32990410.0,33203840.0,32392090.0,34577530.0,33070830.0,35548380.0,34943830.0,34515950.0,35539910.0,34906030.0,34703740.0,35135860.0,34853330.0,36502890.0,34503340.0,34601140.0,35418700.0,37320910.0,37540180.0,37902710.0,38125640.0,37449710.0,35782140.0,37868760.0,34763540.0,37570700.0,36169630.0,34776620.0,34377050.0
Germany,22077690.0,24241470.0,25340780.0,24843610.0,23988490.0,25236310.0,27208190.0,27321930.0,26233890.0,27169910.0,27006170.0,27067500.0,27570240.0,28400570.0,27420450.0,26662980.0,28103390.0,29128030.0,29655340.0,29194460.0,29303650.0,30622100.0,29675510.0,31695020.0,31764450.0,32786830.0,31590070.0,31752840.0,31521730.0,30774620.0,28943980.0,27972040.0,27446660.0,26758850.0,27516650.0,28291520.0,28287210.0,28969080.0,29794080.0,30055110.0,29948860.0,29032560.0,27700560.0,30391720.0,29285100.0,28460270.0,28778000.0
Italy,18638310.0,19289340.0,18918070.0,19893760.0,20564500.0,21158350.0,22352040.0,21546680.0,22380610.0,22301020.0,22070850.0,20918060.0,22796650.0,23012600.0,23294800.0,22575690.0,22837840.0,23545130.0,25244510.0,26183830.0,25134760.0,24632600.0,27055170.0,25190830.0,24918630.0,25277550.0,26126710.0,24599590.0,25172820.0,23741890.0,25914520.0,26403000.0,25392360.0,25257520.0,24944800.0,25775340.0,25217840.0,25574600.0,26866340.0,26136650.0,25580200.0,24916050.0,23984610.0,26710580.0,26063090.0,24948040.0,24706710.0
Argentina,11950390.0,12519320.0,13694660.0,12918230.0,12247380.0,13410430.0,14588430.0,13747960.0,14798930.0,14611240.0,13789590.0,13656770.0,14271120.0,15155270.0,15587970.0,17053670.0,16936890.0,18231820.0,18336400.0,16866610.0,18083840.0,18800410.0,18228670.0,18875440.0,18897030.0,19229670.0,18434930.0,19070680.0,17608890.0,19775220.0,20034040.0,20229030.0,20067390.0,21557130.0,22544730.0,23231670.0,23827910.0,25495380.0,26567310.0,26422920.0,26443270.0,25764360.0,27464940.0,27948600.0,30800780.0,30957870.0,33832140.0
Indonesia,7383684.0,8054871.0,7650931.0,8076970.0,7925503.0,8219212.0,7840406.0,9096512.0,9155070.0,9704501.0,10007550.0,10034870.0,10815040.0,11274650.0,11142450.0,11206520.0,11646970.0,12448370.0,12983760.0,14047620.0,15063670.0,14841610.0,16082280.0,17468570.0,17965220.0,18926660.0,19170230.0,20268510.0,21354870.0,22305680.0,22569510.0,24558050.0,24864060.0,25080400.0,27342810.0,27588090.0,26436480.0,26614870.0,26909240.0,27894050.0,28467300.0,30238130.0,32107000.0,34029230.0,35016270.0,36616890.0,38001410.0
